Builder Name,Description,Location,Nearby Highlights,Possession Status,Price,Property Name,Property Type,Total Area
ABS Infra Developers,"Beautiful 3 BHK apartments in Zirakpur, are now available in ABS Golden Era Home housing project. ABS Golden Era Home 's RERA registration number is PBRERA-SAS79-PR0996. ABS Golden Era Home apartments...",Zirakpur,nearby School,"New Launch (Completion in Jan, 2029)",Price on Request,ABS Golden Era Home,,
Motia Group,"Looking for your dream home? Explore 3 BHK apartments in Zirakpur, now available in Motia Blue Ridge. Motia Blue Ridge has apartments in multiple configurations, in range of 1,611 - 1,721 sq.ft.. Apar...",Zirakpur,,"Ready To Move (Since Jun, 2021)",Price on Request,Motia Blue Ridge,,
Kreative Solutions,This is your chance to a 4 bhk apartment / flat for sale in zirakpur chandigarh . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with ...,Zirakpur,"East Facing, Gated Society",I,70 Lac,Ansals Woodbury Apartments Zirakpur,Residential Apartment,
Azaad Realtors,Plot is east facing. Very close to dlf hyde park and distance of 300 metres from vr5 road. The share in society also includes a commercial portion subject to conditions,New Chandigarh,,I,3.15 Cr,Greater Punjab Society,Residential Land,475
Rishi Properties & Builders,"Located in a peaceful place yet v near to market, hospital, facing park, rentable, 3 kms away from it park Handsome rental value as it is near to it park",Manimajra,"Gated Society, Overlooking Park/Garden, Marble Flooring",I,5.5 Cr,"Shivalik Enclave, NAC Sector 13",Independent House/Villa,253
ABS Infra Developers,"An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in golden palms, dera bassi, india which ensures a relaxed and comfortable stay. Being an in...",Dera Bassi,"Gated Society, Overlooking Main Road, Vitrified Flooring",I,1.1 Cr,Golden Palms,Independent House/Villa,1650
Omaxe Infratech,"Land in Mullanpur are now available for sale in Omaxe Plots Phase 3. Property Staff, Vastu Compliant and 24/7 Water Supply are some of the top amenities available in this project. The dimensions of La...",Mullanpur,,Ready To Move,1.5 - 7.5 Cr,Omaxe Plots Phase 3,,
Azaad Realtors,"I have a house/villa available for sale in dera bassi, mohali. Available at price of rs 75 lacs. It has plot area of 900 sq ft. It has 5 bhk, 5 bathroom, balcony.It is a freehold property",Dera Bassi,,I,75 Lac,sukhna enclave sec 9,Independent House/Villa,900
Motia Group,"Want to invest in Land in Dera Bassi? Check out Motia Grand, the city's best offering in this category. Land will be offered for possession from May, 2028. Sizes of these property options are in the b...",Dera Bassi,nearby School,"Under Construction (Completion in May, 2028)",37.91 - 56.86 L,Motia Grand,,
Kreative Solutions,Location and direct park views,Dera Bassi,"North Facing, Gated Society, Corner Property",I,1.15 Cr,ATS Golf Meadows Lifestyle,Residential Apartment,
Suksha Developers,"Check out 3 BHK Apartment, 4 BHK Apartment and 3 BHK Independent Floor in Sushma Belleza, one of the best offerings in Zirakpur. Property prices here start from Rs. 1.61 Cr. Sushma Belleza possession ...",Zirakpur,nearby Shopping Center/ Market/ Mall,"Under Construction (Completion in Dec, 2027)",1.61 - 1.97 Cr,Sushma Belleza,,
Kreative Solutions,Gulnaar meadows is a premium boutique residential project of sav infosystems llp with unparalleled amenities and unmatched location in zirakpur on ambala - Chandigarh highway Located mere 1 minute fro...,Zirakpur,"Gated Society, Overlooking Park/Garden, Fitness Center/ Gym, Club/ Community Center",Q,1.16 Cr,"3 BHK Independent Builder Floor in Zirakpur, Chandigarh",Independent/Builder Floor,
Malhotra Properties,Residential plot available for sale at omaxe ph3 mullanpur new chandigarh possession able in gated society with 3 tier security near to internatinal cricket stadium Residential land available for sale...,Mullanpur,Overlooking Main Road,I,2 Cr,Omaxe Plots Phase 3,Residential Land,265
